dong_cd,sgg_cd,sgg_nm,emd_nm,pop_0,pop_1,pop_2,pop_3,pop_4,pop_5,pop_6,pop_0_6,pop_0_2,pop_3_6,capacity,enrolled,fac_cnt,cc_capacity,cc_enrolled,cc_cnt,kg_capacity,kg_enrolled,kg_cnt,public_capacity,public_cnt,private_capacity,private_cnt,coverage,fill,usage,public_share,infant_ratio,quadrant,in_all,in_child,in_child_hh,in_child_gp,in_child_0_2,in_child_gpcare,in_child_reason_가족,in_child_reason_교육,in_child_reason_기타,in_child_reason_자연환경,in_child_reason_주거환경,in_child_reason_주택,in_child_reason_직업,out_all,out_child,out_child_hh,out_child_gp,out_child_0_2,out_child_gpcare,out_child_reason_가족,out_child_reason_교육,out_child_reason_기타,out_child_reason_자연환경,out_child_reason_주거환경,out_child_reason_주택,out_child_reason_직업,net_all,net_child,net_child_hh,in_rate,out_rate,net_rate,turnover_rate,churn_ratio,in_share_직업,in_share_가족,in_share_주택,in_share_교육,in_share_주거환경,in_share_자연환경,in_share_기타,gpcare_share_in,headless_share_in,small_denom,analysis_ok
2717066100,27170,서구,평리6동,67,54,57,33,37,32,21,301,178,123,165.0,111.0,4.0,147.0,104.0,3.0,18.0,7.0,1.0,70.0,2.0,95.0,2.0,0.5481727574750831,0.6727272727272727,0.3687707641196013,0.4242424242424242,1.4471544715447155,물리적부족,3006,235.0,196.0,0.0,168.0,13.0,52.0,7.0,15.0,0.0,10.0,136.0,15.0,1919,140.0,98.0,0.0,103.0,23.0,26.0,2.0,20.0,0.0,11.0,67.0,14.0,1087,95.0,98.0,0.7807308970099668,0.46511627906976744,0.3156146179401993,1.2458471760797345,0.5957446808510638,0.06382978723404255,0.22127659574468084,0.5787234042553191,0.029787234042553193,0.0425531914893617,0.0,0.06382978723404255,0.05531914893617021,0.16595744680851066,False,True
2717067500,27170,서구,상중이동,40,29,35,27,33,44,51,259,104,155,687.0,566.0,11.0,645.0,555.0,9.0,42.0,11.0,2.0,194.0,4.0,493.0,7.0,2.6525096525096523,0.8238719068413392,2.1853281853281854,0.2823871906841339,0.6709677419354839,양호,3958,188.0,119.0,0.0,74.0,44.0,56.0,19.0,11.0,0.0,8.0,78.0,16.0,5160,249.0,192.0,0.0,122.0,26.0,74.0,11.0,16.0,0.0,14.0,125.0,9.0,-1202,-61.0,-73.0,0.7258687258687259,0.9613899613899614,-0.2355212355212355,1.6872586872586872,1.324468085106383,0.0851063829787234,0.2978723404255319,0.4148936170212766,0.10106382978723404,0.0425531914893617,0.0,0.05851063829787234,0.23404255319148937,0.3670212765957447,False,True
2717069500,27170,서구,원대동,71,49,46,42,42,38,49,337,166,171,707.0,232.0,4.0,227.0,195.0,3.0,480.0,37.0,1.0,631.0,3.0,76.0,1.0,2.0979228486646884,0.3281471004243281,0.6884272997032641,0.8925035360678925,0.9707602339181286,질적미스매치,4188,324.0,276.0,0.0,176.0,22.0,44.0,7.0,9.0,0.0,127.0,131.0,6.0,2746,138.0,94.0,0.0,63.0,23.0,39.0,8.0,15.0,1.0,15.0,54.0,6.0,1442,186.0,182.0,0.9614243323442137,0.4094955489614243,0.5519287833827893,1.370919881305638,0.42592592592592593,0.018518518518518517,0.13580246913580246,0.404320987654321,0.021604938271604937,0.39197530864197533,0.0,0.027777777777777776,0.06790123456790123,0.14814814814814814,False,True
2720051500,27200,남구,이천동,102,117,86,90,95,80,107,677,305,372,405.0,367.0,6.0,225.0,187.0,5.0,180.0,180.0,1.0,143.0,3.0,262.0,3.0,0.5982274741506647,0.9061728395061728,0.5420974889217134,0.3530864197530864,0.8198924731182796,물리적부족,4900,458.0,392.0,0.0,264.0,26.0,88.0,16.0,14.0,1.0,19.0,296.0,24.0,3447,194.0,154.0,0.0,90.0,21.0,48.0,8.0,16.0,0.0,8.0,102.0,12.0,1453,264.0,238.0,0.6765140324963073,0.2865583456425406,0.3899556868537666,0.9630723781388478,0.42358078602620086,0.05240174672489083,0.19213973799126638,0.6462882096069869,0.034934497816593885,0.04148471615720524,0.002183406113537118,0.03056768558951965,0.056768558951965066,0.14410480349344978,False,True
2720053000,27200,남구,봉덕1동,17,14,13,13,17,13,17,104,44,60,87.0,81.0,2.0,87.0,81.0,2.0,0.0,0.0,0.0,87.0,2.0,0.0,0.0,0.8365384615384616,0.9310344827586208,0.7788461538461539,1.0,0.7333333333333333,물리적부족,2727,73.0,49.0,1.0,37.0,9.0,29.0,2.0,8.0,0.0,3.0,19.0,12.0,3206,115.0,89.0,1.0,47.0,11.0,30.0,13.0,8.0,0.0,11.0,45.0,8.0,-479,-42.0,-40.0,0.7019230769230769,1.1057692307692308,-0.4038461538461538,1.807692307692308,1.5753424657534247,0.1643835616438356,0.3972602739726027,0.2602739726027397,0.0273972602739726,0.0410958904109589,0.0,0.1095890410958904,0.1232876712328767,0.3287671232876712,False,True
2720054000,27200,남구,봉덕2동,92,84,89,97,75,93,97,627,265,362,123.0,94.0,3.0,123.0,94.0,3.0,0.0,0.0,0.0,123.0,3.0,0.0,0.0,0.1961722488038277,0.7642276422764228,0.149920255183413,1.0,0.7320441988950276,물리적부족,4027,411.0,331.0,0.0,210.0,24.0,91.0,28.0,21.0,1.0,16.0,239.0,15.0,3575,321.0,233.0,0.0,143.0,43.0,74.0,33.0,17.0,2.0,21.0,148.0,26.0,452,90.0,98.0,0.6555023923444976,0.5119617224880383,0.1435406698564593,1.167464114832536,0.781021897810219,0.0364963503649635,0.22141119221411193,0.5815085158150851,0.0681265206812652,0.038929440389294405,0.0024330900243309003,0.051094890510948905,0.058394160583941604,0.194647201946472,False,True
2720055000,27200,남구,봉덕3동,22,39,34,30,38,39,52,254,95,159,744.0,642.0,7.0,228.0,163.0,3.0,516.0,479.0,4.0,71.0,2.0,673.0,5.0,2.9291338582677167,0.8629032258064516,2.52755905511811,0.0954301075268817,0.5974842767295597,양호,4468,190.0,118.0,0.0,84.0,38.0,65.0,28.0,14.0,1.0,15.0,47.0,20.0,5374,264.0,209.0,0.0,110.0,26.0,63.0,17.0,10.0,2.0,18.0,137.0,17.0,-906,-74.0,-91.0,0.7480314960629921,1.0393700787401574,-0.2913385826771653,1.7874015748031495,1.3894736842105264,0.10526315789473684,0.34210526315789475,0.2473684210526315,0.14736842105263157,0.07894736842105263,0.005263157894736842,0.07368421052631578,0.2,0.3789473684210526,False,True
2720056000,27200,남구,대명1동,17,14,14,11,21,21,23,121,45,76,451.0,84.0,4.0,251.0,64.0,3.0,200.0,20.0,1.0,0.0,0.0,451.0,4.0,3.727272727272727,0.1862527716186252,0.6942148760330579,0.0,0.5921052631578947,질적미스매치,3075,73.0,50.0,0.0,34.0,16.0,26.0,3.0,5.0,0.0,4.0,30.0,5.0,3828,125.0,103.0,0.0,64.0,13.0,25.0,12.0,8.0,0.0,8.0,66.0,6.0,-753,-52.0,-53.0,0.6033057851239669,1.0330578512396693,-0.4297520661157025,1.6363636363636365,1.7123287671232876,0.0684931506849315,0.3561643835616438,0.410958904109589,0.0410958904109589,0.0547945205479452,0.0,0.0684931506849315,0.2191780821917808,0.31506849315068497,False,True
2720057100,27200,남구,대명2동,140,105,82,65,76,71,77,616,327,289,266.0,254.0,3.0,70.0,60.0,2.0,196.0,194.0,1.0,248.0,2.0,18.0,1.0,0.4318181818181818,0.9548872180451128,0.4123376623376623,0.9323308270676692,1.1314878892733564,물리적부족,5694,126.0,84.0,0.0,61.0,17.0,39.0,8.0,15.0,0.0,9.0,43.0,12.0,5605,199.0,155.0,0.0,104.0,26.0,53.0,20.0,7.0,1.0,3.0,101.0,14.0,89,-73.0,-71.0,0.2045454545454545,0.32305194805194803,-0.1185064935064935,0.5275974025974026,1.5793650793650793,0.09523809523809523,0.30952380952380953,0.3412698412698413,0.06349206349206349,0.07142857142857142,0.0,0.11904761904761904,0.1349206349206349,0.33333333333333337,False,True
2720058600,27200,남구,대명3동,56,43,41,30,24,31,29,254,140,114,348.0,235.0,3.0,108.0,45.0,2.0,240.0,190.0,1.0,0.0,0.0,348.0,3.0,1.3700787401574803,0.6752873563218391,0.9251968503937008,0.0,1.2280701754385963,양호,3222,54.0,27.0,0.0,23.0,10.0,14.0,5.0,7.0,0.0,4.0,16.0,8.0,3871,94.0,73.0,0.0,45.0,8.0,24.0,2.0,5.0,0.0,9.0,44.0,10.0,-649,-40.0,-46.0,0.2125984251968504,0.3700787401574803,-0.1574803149606299,0.5826771653543307,1.7407407407407407,0.14814814814814814,0.25925925925925924,0.2962962962962963,0.09259259259259259,0.07407407407407407,0.0,0.12962962962962962,0.18518518518518517,0.5,False,True
