시도명,시군구명,읍면동명,영아인구_0_2세,유아인구_3_6세,영유아인구_0_6세,유치원수,정원_합계,원아수_합계,충원율_동단위,커버율,미스매치_유형,체육시설수,유아특화_체육시설수,유아가능_체육시설수,경제활동인구_천명,취업자_천명,경제활동참가율,고용률,실업률,출생아수_2023,합계출산율_2023,출생아수_2024,합계출산율_2024,출생아수_2025,합계출산율_2025,신혼부부수_2023,신혼부부수_2024,영유아인구_0_5세_2022,영유아인구_0_5세_2023,영유아인구_0_5세_2024,영유아인구_0_5세_2025,어린이집수,어린이집정원,어린이집현원,통합_정원,통합_현원,통합_커버율,통합_충원율,실거래건수,최근실거래건수,평균제곱미터당가격_만원,최근평균제곱미터당가격_만원,학원수,학원정원합계,전체_정원,전체_커버율,전체_충원율
대구광역시,북구,고성동,821,787,1608,0,0,0,,0.0,물리적부족,3,0,3,219.3,213.9,58.3,56.9,2.5,1649,0.698,1693,0.739,1800,0.78,7198,6816,14496.0,12497,11332,10964,9,579,548,579,548,0.360074627,0.946459413,642,436,603.4558222,622.2087993,0,0,579,0.36007462686567165,0.946459413
대구광역시,북구,칠성동,426,545,971,1,72,71,0.986111111,0.07415036,물리적부족,8,0,5,219.3,213.9,58.3,56.9,2.5,1649,0.698,1693,0.739,1800,0.78,7198,6816,14496.0,12497,11332,10964,12,429,317,501,388,0.515962925,0.774451098,1181,645,447.0101568,459.1798929,4,120,621,0.639546858908342,0.774451098
대구광역시,북구,침산1동,17,31,48,0,0,0,,0.0,판정불가,0,0,0,219.3,213.9,58.3,56.9,2.5,1649,0.698,1693,0.739,1800,0.78,7198,6816,14496.0,12497,11332,10964,0,0,0,0,0,0.0,,1604,847,399.0579466,398.4293203,30,6830,6830,142.29166666666666,
대구광역시,북구,침산2동,305,506,811,2,531,531,1.0,0.654747226,양호,8,1,5,219.3,213.9,58.3,56.9,2.5,1649,0.698,1693,0.739,1800,0.78,7198,6816,14496.0,12497,11332,10964,5,222,190,753,721,0.928483354,0.95750332,1604,847,399.0579466,398.4293203,30,6830,7583,9.350184956843403,0.95750332
대구광역시,북구,침산3동,195,354,549,2,180,224,1.244444444,0.327868852,양호,9,0,5,219.3,213.9,58.3,56.9,2.5,1649,0.698,1693,0.739,1800,0.78,7198,6816,14496.0,12497,11332,10964,8,273,233,453,457,0.825136612,1.008830022,1604,847,399.0579466,398.4293203,30,6830,7283,13.265938069216757,1.008830022
대구광역시,북구,산격1동,15,25,40,1,18,3,0.166666667,0.45,질적미스매치,1,0,1,219.3,213.9,58.3,56.9,2.5,1649,0.698,1693,0.739,1800,0.78,7198,6816,14496.0,12497,11332,10964,1,85,45,103,48,2.575,0.466019417,331,177,268.6273143,261.7786467,0,0,103,2.575,0.466019417
대구광역시,북구,산격2동,61,92,153,1,176,166,0.943181818,1.150326797,양호,1,0,1,219.3,213.9,58.3,56.9,2.5,1649,0.698,1693,0.739,1800,0.78,7198,6816,14496.0,12497,11332,10964,3,260,203,436,369,2.849673203,0.846330275,331,177,268.6273143,261.7786467,0,0,436,2.849673202614379,0.846330275
대구광역시,북구,산격3동,36,34,70,1,40,7,0.175,0.571428571,질적미스매치,4,0,1,219.3,213.9,58.3,56.9,2.5,1649,0.698,1693,0.739,1800,0.78,7198,6816,14496.0,12497,11332,10964,3,269,150,309,157,4.414285714,0.508090615,331,177,268.6273143,261.7786467,0,0,309,4.414285714285715,0.508090615
대구광역시,북구,산격4동,19,53,72,1,249,249,1.0,3.458333333,양호,0,0,0,219.3,213.9,58.3,56.9,2.5,1649,0.698,1693,0.739,1800,0.78,7198,6816,14496.0,12497,11332,10964,3,192,82,441,331,6.125,0.750566893,331,177,268.6273143,261.7786467,0,0,441,6.125,0.750566893
대구광역시,북구,대현동,112,152,264,2,316,277,0.876582278,1.196969697,질적미스매치,3,0,3,219.3,213.9,58.3,56.9,2.5,1649,0.698,1693,0.739,1800,0.78,7198,6816,14496.0,12497,11332,10964,6,347,194,663,471,2.511363636,0.71040724,533,276,413.8680936,413.0848177,0,0,663,2.5113636363636362,0.71040724
대구광역시,북구,복현1동,27,26,53,0,0,0,,0.0,질적미스매치,2,0,1,219.3,213.9,58.3,56.9,2.5,1649,0.698,1693,0.739,1800,0.78,7198,6816,14496.0,12497,11332,10964,1,49,14,49,14,0.924528302,0.285714286,1201,651,405.7216885,399.4243719,11,754,803,15.150943396226415,0.285714286
대구광역시,북구,복현2동,477,563,1040,4,551,500,0.907441016,0.529807692,물리적부족,13,1,11,219.3,213.9,58.3,56.9,2.5,1649,0.698,1693,0.739,1800,0.78,7198,6816,14496.0,12497,11332,10964,11,539,375,1090,875,1.048076923,0.802752294,1201,651,405.7216885,399.4243719,11,754,1844,1.773076923076923,0.802752294
